signature	id	name	parameter	result type	result count	state	desc	example
_e2t.shiftentity()	_e2t	shiftentity		e	1	1		
_e2t.shiftnumber()	_e2t	shiftnumber		n	1	1		
_e2t.shiftplayer()	_e2t	shiftplayer		p	1	1		
_e2t.shiftstring()	_e2t	shiftstring		s	1	1		
_e2t.shiftvector()	_e2t	shiftvector		v	1	1		
_e2t.type(n)	_e2t	type	n	_cls	1	1		
_e2t.type(s)	_e2t	type	s	_cls	1	1		
_e2t.unshiftangle(a)	_e2t	unshiftangle	a	_nil	0	1		
_e2t.unshiftcolor(c)	_e2t	unshiftcolor	c	_nil	0	1		
_e2t.unshiftentity(e)	_e2t	unshiftentity	e	_nil	0	1		
_e2t.unshiftnumber(n)	_e2t	unshiftnumber	n	_nil	0	1		
_e2t.unshiftplayer(p)	_e2t	unshiftplayer	p	_nil	0	1		
_e2t.unshiftstring(s)	_e2t	unshiftstring	s	_nil	0	1		
_e2t.unshiftvector(v)	_e2t	unshiftvector	v	_nil	0	1		
_ed.addBlackList(e)	_ed	addBlackList	e	_nil	0	1		
_ed.addBlackList(t)	_ed	addBlackList	t	_nil	0	1		
_ed.addWhiteList(e)	_ed	addWhiteList	e	_nil	0	1		
_ed.addWhiteList(t)	_ed	addWhiteList	t	_nil	0	1		
_ed.clearBlackList()	_ed	clearBlackList		_nil	0	1		
_ed.clearClassFilters()	_ed	clearClassFilters		_nil	0	1		
_ed.clearFilters()	_ed	clearFilters		_nil	0	1		
_ed.clearModelFilters()	_ed	clearModelFilters		_nil	0	1		
_ed.clearPlayerFilters()	_ed	clearPlayerFilters		_nil	0	1		
_ed.clearWhiteList()	_ed	clearWhiteList		_nil	0	1		
"_ed.clipFromBox(v,v)"	_ed	clipFromBox	"v,v"	_nil	0	1		
"_ed.clipFromRegion(v,v)"	_ed	clipFromRegion	"v,v"	_nil	0	1		
"_ed.clipFromSphere(v,n)"	_ed	clipFromSphere	"v,n"	_nil	0	1		
"_ed.clipToBox(v,v)"	_ed	clipToBox	"v,v"	_nil	0	1		
"_ed.clipToSphere(v,n)"	_ed	clipToSphere	"v,n"	_nil	0	1		
_ed.copyFilters(_ed)	_ed	copyFilters	_ed	_nil	0	1		
_ed.excludeClass(s)	_ed	excludeClass	s	_nil	0	1		
_ed.excludeModel(s)	_ed	excludeModel	s	_nil	0	1		
_ed.excludePlayerPpops(p)	_ed	excludePlayerPpops	p	_nil	0	1		
_ed.findByClass(s)	_ed	findByClass	s	n	1	1		
_ed.findByModel(s)	_ed	findByModel	s	n	1	1		
"_ed.findInBox(v,v)"	_ed	findInBox	"v,v"	n	1	1		
"_ed.findInCone(v,v,n,a)"	_ed	findInCone	"v,v,n,a"	n	1	1		
"_ed.findInSphere(v,n)"	_ed	findInSphere	"v,n"	n	1	1		
_ed.finInPVS(e)	_ed	finInPVS	e	n	1	1		
_ed.finInPVS(v)	_ed	finInPVS	v	n	1	1		
_ed.first()	_ed	first		e	1	1		
_ed.includeClass(s)	_ed	includeClass	s	_nil	0	1		
_ed.includeModel(s)	_ed	includeModel	s	_nil	0	1		
_ed.includePlayerPpops(p)	_ed	includePlayerPpops	p	_nil	0	1		
_ed.removeFromBlackList(e)	_ed	removeFromBlackList	e	_nil	0	1		
_ed.removeFromWhiteList(e)	_ed	removeFromWhiteList	e	_nil	0	1		
_ed.results()	_ed	results		n	1	1		
_ed.sortByDistance(v)	_ed	sortByDistance	v	_nil	0	1		
_ed.toArray()	_ed	toArray		t	1	1		
_er.char()	_er	char		n	1	1		
_er.line()	_er	line		n	1	1		
_er.message()	_er	message		s	1	1		
_mx2.column(n)	_mx2	column	n	_v2	1	1		
"_mx2.element(n,n)"	_mx2	element	"n,n"	n	1	1		
_mx2.row(n)	_mx2	row	n	_v2	1	1		
"_mx2.setColumn(n,_v2)"	_mx2	setColumn	"n,_v2"	_mx2	1	1		
"_mx2.setColumn(n,n,n)"	_mx2	setColumn	"n,n,n"	_mx2	1	1		
"_mx2.setElement(n,n,n)"	_mx2	setElement	"n,n,n"	_mx2	1	1		
"_mx2.setRow(n,_v2)"	_mx2	setRow	"n,_v2"	_mx2	1	1		
"_mx2.setRow(n,n,n)"	_mx2	setRow	"n,n,n"	_mx2	1	1		
_mx2.swapColumns()	_mx2	swapColumns		_mx2	1	1		
"_mx2.swapElement(n,n,n,n)"	_mx2	swapElement	"n,n,n,n"	_mx2	1	1		
_mx2.swapRows()	_mx2	swapRows		_mx2	1	1		
_mx2.toString()	_mx2	toString		s	1	1		
_mx3.column(n)	_mx3	column	n	v	1	1		
"_mx3.element(n,n)"	_mx3	element	"n,n"	n	1	1		
_mx3.getX()	_mx3	getX		v	1	1		
_mx3.getY()	_mx3	getY		v	1	1		
_mx3.getZ()	_mx3	getZ		v	1	1		
_mx3.row(n)	_mx3	row	n	v	1	1		
"_mx3.setColumn(n,n,n,n)"	_mx3	setColumn	"n,n,n,n"	_mx3	1	1		
"_mx3.setColumn(n,v)"	_mx3	setColumn	"n,v"	_mx3	1	1		
"_mx3.setDiagonal(n,n,n)"	_mx3	setDiagonal	"n,n,n"	_mx3	1	1		
_mx3.setDiagonal(v)	_mx3	setDiagonal	v	_mx3	1	1		
"_mx3.setElement(n,n,n)"	_mx3	setElement	"n,n,n"	_mx3	1	1		
"_mx3.setRow(n,n,n,n)"	_mx3	setRow	"n,n,n,n"	_mx3	1	1		
"_mx3.setRow(n,v)"	_mx3	setRow	"n,v"	_mx3	1	1		
"_mx3.swapColumns(n,n)"	_mx3	swapColumns	"n,n"	_mx3	1	1		
"_mx3.swapElement(n,n,n,n)"	_mx3	swapElement	"n,n,n,n"	_mx3	1	1		
"_mx3.swapRows(n,n)"	_mx3	swapRows	"n,n"	_mx3	1	1		
_mx3.toAngle()	_mx3	toAngle		a	1	1		
_mx3.toString()	_mx3	toString		s	1	1		
"_mx4.element(n,n)"	_mx4	element	"n,n"	n	1	1		
_mx4.getPos()	_mx4	getPos		v	1	1		
_mx4.getX()	_mx4	getX		v	1	1		
_mx4.getY()	_mx4	getY		v	1	1		
_mx4.getZ()	_mx4	getZ		v	1	1		
"_mx4.setColumn(n,n,n,n,n)"	_mx4	setColumn	"n,n,n,n,n"	_mx4	1	1		
"_mx4.setDiagonal(n,n,n,n)"	_mx4	setDiagonal	"n,n,n,n"	_mx4	1	1		
"_mx4.setElement(n,n)"	_mx4	setElement	"n,n"	_mx4	1	1		
"_mx4.setRow(n,n,n,n,n)"	_mx4	setRow	"n,n,n,n,n"	_mx4	1	1		
"_mx4.swapColumns(n,n)"	_mx4	swapColumns	"n,n"	_mx4	1	1		
"_mx4.swapElements(n,n,n,n)"	_mx4	swapElements	"n,n,n,n"	_mx4	1	1		
"_mx4.swapRows(n,n)"	_mx4	swapRows	"n,n"	_mx4	1	1		
_mx4.toString()	_mx4	toString		s	1	1		
_ph.ang()	_ph	ang		v	1	1		
_ph.angDamping()	_ph	angDamping		n	1	1		
_ph.angVel()	_ph	angVel		a	1	1		
_ph.applyAngForce(a)	_ph	applyAngForce	a	_nil	0	0		
_ph.applyForce(v)	_ph	applyForce	v	_nil	0	0		
_ph.applyOffsetForce(v)	_ph	applyOffsetForce	v	_nil	0	0		
_ph.bearing(v)	_ph	bearing	v	n	1	1		
_ph.damping()	_ph	damping		n	1	1		
_ph.elevation(v)	_ph	elevation	v	n	1	1		
_ph.energy()	_ph	energy		n	1	1		
_ph.forward()	_ph	forward		v	1	1		
_ph.getAng()	_ph	getAng		v	1	1		
_ph.getMass()	_ph	getMass		n	1	1		
_ph.getMassCenter()	_ph	getMassCenter		v	1	1		
_ph.getPos()	_ph	getPos		v	1	1		
_ph.heading(v)	_ph	heading	v	n	1	1		
_ph.inertia()	_ph	inertia		v	1	1		
_ph.invInertia()	_ph	invInertia		n	1	1		
_ph.isFrozen()	_ph	isFrozen		b	1	0		
_ph.isValid()	_ph	isValid		b	1	1		
_ph.pos()	_ph	pos		v	1	1		
_ph.right()	_ph	right		v	1	1		
_ph.rotDamping()	_ph	rotDamping		n	1	1		
_ph.setAng(a)	_ph	setAng	a	_nil	0	0		
_ph.setFrozen(b)	_ph	setFrozen	b	_nil	0	0		
_ph.setMass(n)	_ph	setMass	n	_nil	0	0		
_ph.setPos(v)	_ph	setPos	v	_nil	0	0		
_ph.setVel(v)	_ph	setVel	v	_nil	0	0		
_ph.speedDamping()	_ph	speedDamping		n	1	1		
_ph.toLocal(v)	_ph	toLocal	v	v	1	1		
_ph.toWorld(v)	_ph	toWorld	v	v	1	1		
_ph.up()	_ph	up		v	1	1		
_ph.Vel()	_ph	Vel		v	1	1		
_snd.fadeOut(n)	_snd	fadeOut	n	_nil	0	1	Fades a sound out over <int> seconds.	
_snd.getPitch()	_snd	getPitch		n	1	1	Returns the pitch of the sound.	
_snd.getVolume()	_snd	getVolume		n	1	1	Returns the volume of the sound.	
_snd.isPlaying()	_snd	isPlaying		b	1	1	Returns true if the sound is playing.	
_snd.play()	_snd	play		_nil	0	1	Plays the sound.	
_snd.remove()	_snd	remove		_nil	0	1	Destroys the sound object.	
_snd.setPitch(n)	_snd	setPitch	n	_nil	0	1	Sets the pitch of the sound to <int>.	
"_snd.setPitch(n,n)"	_snd	setPitch	"n,n"	_nil	0	1	"Sets the pitch of the sound to <int1>, over time <int2>."	
_snd.setVolume(n)	_snd	setVolume	n	_nil	0	1	Sets the volume of the sound to <int>.	
"_snd.setVolume(n,n)"	_snd	setVolume	"n,n"	_nil	0	1	"Sets the volume of the sound to <int1>, over time <int2>."	
_snd.stop()	_snd	stop		_nil	0	1	Stops the sound.	
_ts.getDay()	_ts	getDay		n	1	1		
_ts.getHour()	_ts	getHour		n	1	1		
_ts.getMinute()	_ts	getMinute		n	1	1		
_ts.getMonth()	_ts	getMonth		n	1	1		
_ts.getSecond()	_ts	getSecond		n	1	1		
_ts.getYear()	_ts	getYear		n	1	1		
"_ts.setDate(n,n,n)"	_ts	setDate	"n,n,n"	_nil	0	1		
_ts.setDay(n)	_ts	setDay	n	_nil	0	1		
_ts.setHour(n)	_ts	setHour	n	_nil	0	1		
_ts.setMinute(n)	_ts	setMinute	n	_nil	0	1		
_ts.setMonth(n)	_ts	setMonth	n	_nil	0	1		
_ts.setSecond(n)	_ts	setSecond	n	_nil	0	1		
"_ts.setTime(n,n,n)"	_ts	setTime	"n,n,n"	_nil	0	1		
_ts.setYear(n)	_ts	setYear	n	_nil	0	1		
_usmg.readBool()	_usmg	readBool		b	1	1		
_usmg.readChar()	_usmg	readChar		n	1	1		
_usmg.readFloat()	_usmg	readFloat		n	1	1		
_usmg.readLong()	_usmg	readLong		n	1	1		
_usmg.readPos()	_usmg	readPos		n	1	1		
_usmg.readShort()	_usmg	readShort		n	1	1		
_usmg.readString()	_usmg	readString		s	1	1		
_usmg.remain()	_usmg	remain		n	1	1		
_usmg.size()	_usmg	size		n	1	1		
_usmg.writeBool(b)	_usmg	writeBool	b	_nil	0	1		
_usmg.writeChar(n)	_usmg	writeChar	n	_nil	0	1		
_usmg.writeFloat(n)	_usmg	writeFloat	n	_nil	0	1		
_usmg.writeLong(n)	_usmg	writeLong	n	_nil	0	1		
_usmg.writeShort(n)	_usmg	writeShort	n	_nil	0	1		
_usmg.writeString(s)	_usmg	writeString	s	_nil	0	1		
_v2.ceil()	_v2	ceil		_nil	0	1		
_v2.clone()	_v2	clone		_v2	1	1		
_v2.distance(_v2)	_v2	distance	_v2	n	1	1		
_v2.floor()	_v2	floor		_nil	0	1		
_v2.getX()	_v2	getX		n	1	1		
_v2.getXY()	_v2	getXY		n	2	1		
_v2.getY()	_v2	getY		n	1	1		
_v2.length()	_v2	length		n	1	1		
_v2.lengthSqr(_v2)	_v2	lengthSqr	_v2	n	1	1		
_v2.normalized()	_v2	normalized		_v2	1	1		
_v2.round()	_v2	round		_nil	0	1		
_v2.round(n)	_v2	round	n	_nil	0	1		
_v2.setX(n)	_v2	setX	n	_nil	0	1		
_v2.setY(n)	_v2	setY	n	_nil	0	1		
_v2.withX(n)	_v2	withX	n	_v2	1	1		
_v2.withY(n)	_v2	withY	n	_v2	1	1		
_wl.hasInput(s)	_wl	hasInput	s	b	1	1		
_wl.hasOutput(s)	_wl	hasOutput	s	b	1	1		
_wl.inputType(s)	_wl	inputType	s	s	1	1		
_wl.isHighSpeed()	_wl	isHighSpeed		b	1	1		
_wl.outputType(s)	_wl	outputType	s	s	1	1		
_wl.readAngleFromInput(s)	_wl	readAngleFromInput	s	a	1	1		
_wl.readAngleFromOutput(s)	_wl	readAngleFromOutput	s	a	1	1		
_wl.readE2.tableFromInput(s)	_wl	readE2.tableFromInput	s	_e2t	1	1		
_wl.readE2.tableFromOutput(s)	_wl	readE2.tableFromOutput	s	_e2t	1	1		
_wl.readEntityFromInput(s)	_wl	readEntityFromInput	s	e	1	1		
_wl.readEntityFromOutput(s)	_wl	readEntityFromOutput	s	e	1	1		
_wl.readFunctionFromInput(s)	_wl	readFunctionFromInput	s	f	1	1		
_wl.readFunctionFromOutput(s)	_wl	readFunctionFromOutput	s	f	1	1		
_wl.readNumberFromInput(s)	_wl	readNumberFromInput	s	n	1	1		
_wl.readNumberFromOutput(s)	_wl	readNumberFromOutput	s	n	1	1		
_wl.readPlayerFromInput(s)	_wl	readPlayerFromInput	s	p	1	1		
_wl.readPlayerFromOutput(s)	_wl	readPlayerFromOutput	s	p	1	1		
_wl.readStringFromInput(s)	_wl	readStringFromInput	s	s	1	1		
_wl.readStringFromOutput(s)	_wl	readStringFromOutput	s	s	1	1		
_wl.readTableFromInput(s)	_wl	readTableFromInput	s	t	1	1		
_wl.readTableFromOutput(s)	_wl	readTableFromOutput	s	t	1	1		
_wl.readVector2FromInput(s)	_wl	readVector2FromInput	s	_v2	1	1		
_wl.readVector2FromOutput(s)	_wl	readVector2FromOutput	s	_v2	1	1		
_wl.readVectorFromInput(s)	_wl	readVectorFromInput	s	v	1	1		
_wl.readVectorFromOutput(s)	_wl	readVectorFromOutput	s	v	1	1		
_wl.readWirelinkFromInput(s)	_wl	readWirelinkFromInput	s	_wl	1	1		
_wl.readWirelinkFromOutput(s)	_wl	readWirelinkFromOutput	s	_wl	1	1		
"_wl.writeToInput(s,_e2t)"	_wl	writeToInput	"s,_e2t"	_nil	0	1		
"_wl.writeToInput(s,_e2t,b)"	_wl	writeToInput	"s,_e2t,b"	_nil	0	1		
"_wl.writeToInput(s,_v2)"	_wl	writeToInput	"s,_v2"	_nil	0	1		
"_wl.writeToInput(s,_v2,b)"	_wl	writeToInput	"s,_v2,b"	_nil	0	1		
"_wl.writeToInput(s,_wl)"	_wl	writeToInput	"s,_wl"	_nil	0	1		
"_wl.writeToInput(s,_wl,b)"	_wl	writeToInput	"s,_wl,b"	_nil	0	1		
"_wl.writeToInput(s,a)"	_wl	writeToInput	"s,a"	_nil	0	1		
"_wl.writeToInput(s,a,b)"	_wl	writeToInput	"s,a,b"	_nil	0	1		
"_wl.writeToInput(s,b)"	_wl	writeToInput	"s,b"	_nil	0	1		
"_wl.writeToInput(s,b,b)"	_wl	writeToInput	"s,b,b"	_nil	0	1		
"_wl.writeToInput(s,e)"	_wl	writeToInput	"s,e"	_nil	0	1		
"_wl.writeToInput(s,e,b)"	_wl	writeToInput	"s,e,b"	_nil	0	1		
"_wl.writeToInput(s,f)"	_wl	writeToInput	"s,f"	_nil	0	1		
"_wl.writeToInput(s,f,b)"	_wl	writeToInput	"s,f,b"	_nil	0	1		
"_wl.writeToInput(s,n)"	_wl	writeToInput	"s,n"	_nil	0	1		
"_wl.writeToInput(s,n,b)"	_wl	writeToInput	"s,n,b"	_nil	0	1		
"_wl.writeToInput(s,p)"	_wl	writeToInput	"s,p"	_nil	0	1		
"_wl.writeToInput(s,p,b)"	_wl	writeToInput	"s,p,b"	_nil	0	1		
"_wl.writeToInput(s,s)"	_wl	writeToInput	"s,s"	_nil	0	1		
"_wl.writeToInput(s,s,b)"	_wl	writeToInput	"s,s,b"	_nil	0	1		
"_wl.writeToInput(s,t)"	_wl	writeToInput	"s,t"	_nil	0	1		
"_wl.writeToInput(s,t,b)"	_wl	writeToInput	"s,t,b"	_nil	0	1		
"_wl.writeToInput(s,v)"	_wl	writeToInput	"s,v"	_nil	0	1		
"_wl.writeToInput(s,v,b)"	_wl	writeToInput	"s,v,b"	_nil	0	1		
a.ceil()	a	ceil		_nil	0	1		
a.floor()	a	floor		_nil	0	1		
a.forward()	a	forward		v	1	1		
a.getP()	a	getP		n	1	1		
a.getPYR()	a	getPYR		n	3	1		
a.getR()	a	getR		n	1	1		
a.getY()	a	getY		n	1	1		
a.isValid()	a	isValid		b	1	1		
a.normalize()	a	normalize		_nil	0	1		
a.right()	a	right		v	1	1		
"a.rotate(v,n)"	a	rotate	"v,n"	_nil	0	1		
a.round()	a	round		_nil	0	1		
a.round(n)	a	round	n	_nil	0	1		
a.setP(n)	a	setP	n	_nil	0	1		
a.setR(n)	a	setR	n	_nil	0	1		
a.setY(n)	a	setY	n	_nil	0	1		
a.unpack()	a	unpack		n	3	1		
a.up()	a	up		v	1	1		
a.withP(n)	a	withP	n	a	1	1		
a.withR(n)	a	withR	n	a	1	1		
a.withY(n)	a	withY	n	a	1	1		
c.ceil()	c	ceil		_nil	0	1		
c.floor()	c	floor		_nil	0	1		
c.getA()	c	getA		n	1	1		
c.getB()	c	getB		n	1	1		
c.getG()	c	getG		n	1	1		
c.getR()	c	getR		n	1	1		
c.getRGB()	c	getRGB		n	3	1		
c.getRGBA()	c	getRGBA		n	3	1		
c.round()	c	round		_nil	0	1		
c.round(n)	c	round	n	_nil	0	1		
c.setA(n)	c	setA	n	_nil	0	1		
c.setB(n)	c	setB	n	_nil	0	1		
c.setG(n)	c	setG	n	_nil	0	1		
c.setR(n)	c	setR	n	_nil	0	1		
c.unpack()	c	unpack		n	3	1		
c.withA(n)	c	withA	n	c	1	1		
c.withB(n)	c	withB	n	c	1	1		
c.withG(n)	c	withG	n	c	1	1		
c.withR(n)	c	withR	n	c	1	1		
e.ang()	e	ang		a	1	1		
e.angVel()	e	angVel		a	1	1		
e.angVelVector()	e	angVelVector		v	1	1		
e.applyAngForce(a)	e	applyAngForce	a	_nil	0	0		
e.applyDamage(n)	e	applyDamage	n	_nil	0	1		
e.applyForce(v)	e	applyForce	v	_nil	0	0		
e.applyOffsetForce(v)	e	applyOffsetForce	v	_nil	0	0		
e.applyTorque(v)	e	applyTorque	v	_nil	0	0		
e.armor()	e	armor		n	1	1		
e.attachmentAng(n)	e	attachmentAng	n	a	1	1		
e.attachmentPos(n)	e	attachmentPos	n	v	1	1		
e.attachments()	e	attachments		t	1	1		
"e.axis(v,e,v)"	e	axis	"v,e,v"	_nil	0	0	Creates an axis between <ent1> and <ent2> at vector positions local to each ent.	
"e.axis(v,e,v,n)"	e	axis	"v,e,v,n"	_nil	0	0	"Creates an axis between <ent1> and <ent2> at vector positions local to each ent, with <friction> friction."	
"e.axis(v,e,v,n,v)"	e	axis	"v,e,v,n,v"	_nil	0	0	"Creates an axis between <ent1> and <ent2> at vector positions local to each ent, with <friction> friction and <localaxis> rotation axis."	
"e.ballsocket(e,v)"	e	ballsocket	"e,v"	_nil	0	0	"Creates a ballsocket between <ent1> and <ent2> at <v>, which is local to <ent1>"	
"e.ballsocket(e,v,n)"	e	ballsocket	"e,v,n"	_nil	0	0	"Creates a ballsocket between <ent1> and <ent2> at <v>, which is local to <ent1>, with friction <friction>"	
"e.ballsocket(v,e,v,v,v,n)"	e	ballsocket	"v,e,v,v,v,n"	_nil	0	0	"Creates an adv ballsocket between <ent1> and <ent2> at <v>, which is local to <ent1>, with many settings"	
e.bearing(v)	e	bearing	v	n	1	1		
e.boxCenter()	e	boxCenter		v	1	1		
e.boxMaxs()	e	boxMaxs		v	1	1		
e.boxMins()	e	boxMins		v	1	1		
e.boxSize()	e	boxSize		v	1	1		
e.constraintBreak()	e	constraintBreak		_nil	0	0	Breaks every constraint on <ent>	
e.constraintBreak(s)	e	constraintBreak	s	_nil	0	0	Breaks all constraints of type <type> on <ent>	
e.elevation(v)	e	elevation	v	n	1	1		
e.energy()	e	energy		n	1	1		
e.extinguish()	e	extinguish		_nil	0	0		
e.eyeAngles()	e	eyeAngles		a	1	1		
e.eyePos()	e	eyePos		v	1	1		
e.forward()	e	forward		v	1	1		
e.getAng()	e	getAng		a	1	1		
e.getBoneCount()	e	getBoneCount		n	1	1		
e.getBoneIndex()	e	getBoneIndex		n	1	1		
e.getChildren()	e	getChildren		t	1	0		
e.getClass()	e	getClass		s	1	1		
e.getColor()	e	getColor		c	1	1		
e.getConstraints()	e	getConstraints		t	1	0		
e.getConstraintsByType(s)	e	getConstraintsByType	s	t	1	0		
e.getDriver()	e	getDriver		p	1	1		
e.getGravity()	e	getGravity		n	1	1		
e.getMass()	e	getMass		n	1	1		
e.getMassCenter()	e	getMassCenter		v	1	1		
e.getMaterial()	e	getMaterial		s	1	1		
e.getModel()	e	getModel		s	1	1		
e.getParent()	e	getParent		e	1	0		
e.getPos()	e	getPos		v	1	1		
e.getSubMaterial(n)	e	getSubMaterial	n	s	1	1		
e.getWeld()	e	getWeld		_con	1	0		
e.getWeld(n)	e	getWeld	n	_con	1	0		
e.getWirelink()	e	getWirelink		_wl	1	1		
e.groundEntity()	e	groundEntity		e	1	1		
e.heading(v)	e	heading	v	a	1	1		
e.health()	e	health		n	1	1		
e.id()	e	id		n	1	1		
e.ignite(n)	e	ignite	n	_nil	0	0		
e.inertia()	e	inertia		v	1	1		
e.invInertia()	e	invInertia		n	1	1		
e.isConstrained()	e	isConstrained		n	1	0		
e.isConstrainedTo()	e	isConstrainedTo		e	1	0		
e.isConstrainedTo(n)	e	isConstrainedTo	n	e	1	0		
"e.isConstrainedTo(n,s)"	e	isConstrainedTo	"n,s"	e	1	0		
e.isFrozen()	e	isFrozen		b	1	0		
e.isHeldByPlayer()	e	isHeldByPlayer		b	1	1		
e.isNPC()	e	isNPC		b	1	1		
e.isOnFire()	e	isOnFire		b	1	1		
e.isPlayer()	e	isPlayer		b	1	1		
e.isRagdoll()	e	isRagdoll		b	1	1		
e.isValid()	e	isValid		b	1	1		
e.isVehicle()	e	isVehicle		b	1	1		
e.isWeapon()	e	isWeapon		b	1	1		
e.isWeldedTo()	e	isWeldedTo		e	1	0		
e.isWeldedTo(n)	e	isWeldedTo	n	e	1	0		
e.lookupAttachment(s)	e	lookupAttachment	s	n	1	1		
e.maxArmor()	e	maxArmor		n	1	1		
e.maxHealth()	e	maxHealth		n	1	1		
e.noCollide(e)	e	noCollide	e	_nil	0	0	Nocollides <ent1> to <ent2>	
e.noCollideAll(b)	e	noCollideAll	b	_nil	0	0	"Nocollides <ent> to entities/players, just like Right Click of No-Collide Stool"	
e.onGround()	e	onGround		b	1	1		
e.owner()	e	owner		p	1	1		
e.parent()	e	parent		e	1	1		
e.physics()	e	physics		_ph	1	1		
e.pos()	e	pos		v	1	1		
e.radius()	e	radius		n	2	1		
e.remove()	e	remove		_nil	0	0		
e.removeTrails()	e	removeTrails		_nil	0	1		
e.resetSubMaterials()	e	resetSubMaterials		_nil	0	0		
e.right()	e	right		v	1	1		
e.setAng(a)	e	setAng	a	_nil	0	0		
e.setColor(c)	e	setColor	c	_nil	0	0		
e.setFrozen(b)	e	setFrozen	b	_nil	0	0		
e.setGravity(b)	e	setGravity	b	_nil	0	0		
e.setMass(n)	e	setMass	n	_nil	0	0		
e.setMaterial(s)	e	setMaterial	s	_nil	0	0		
e.setNotSolid(b)	e	setNotSolid	b	_nil	0	0		
e.setParent(e)	e	setParent	e	_nil	0	0		
e.setPassenger()	e	setPassenger		p	1	1		
e.setPos(v)	e	setPos	v	_nil	0	0		
"e.setSubMaterial(n,s)"	e	setSubMaterial	"n,s"	_nil	0	0		
"e.setTrails(n,n,n,s,c,n,b)"	e	setTrails	"n,n,n,s,c,n,b"	_nil	0	1		
e.setVel(v)	e	setVel	v	_nil	0	0		
e.toLocal(a)	e	toLocal	a	a	1	1		
e.toLocal(v)	e	toLocal	v	v	1	1		
e.totalConstraints()	e	totalConstraints		n	1	0		
e.toWorld(a)	e	toWorld	a	a	1	1		
e.toWorld(v)	e	toWorld	v	v	1	1		
e.unParent()	e	unParent		_nil	0	0		
e.up()	e	up		v	1	1		
e.use()	e	use		_nil	0	0		
e.Vel()	e	Vel		v	1	1		
e.VelL()	e	VelL		v	1	1		
e.waterLevel()	e	waterLevel		n	1	1		
e.weld(e)	e	weld	e	_nil	0	0	Welds <ent1> to <ent2>	
"e.weldAng(v,e)"	e	weldAng	"v,e"	_nil	0	0	"Creates an angular weld (angles are fixed, position isn't) between <ent1> and <ent2> at <v>, which is local to <ent1>"	
e.worldSpaceAABB()	e	worldSpaceAABB		v	2	1		
e.worldSpaceCenter()	e	worldSpaceCenter		v	2	1		
h.animationLength()	h	animationLength		n	1	0		
h.boneCount()	h	boneCount		n	0	0		
h.boneParent(n)	h	boneParent	n	n	0	0		
"h.enableClip(n,b)"	h	enableClip	"n,b"	_nil	0	0		
h.getAnimation()	h	getAnimation		n	1	0		
h.getAnimationName(n)	h	getAnimationName	n	s	1	0		
